voted_for,educ,income_group,gunown
Biden,4-year,Middle,No one in the household owns a gun
Trump,2-year,High,No one in the household owns a gun
Trump,2-year,Low,No one in the household owns a gun
Trump,4-year,High,Personally own a gun
Biden,Post-grad,Low,Personally own a gun
Trump,High school graduate,Low,Someone in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,Some college,High,No one in the household owns a gun
Biden,High school graduate,NA,Someone in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Trump,4-year,High,No one in the household owns a gun
Trump,High school graduate,Low,No one in the household owns a gun
Biden,No HS,High,No one in the household owns a gun
Trump,Some college,Low,No one in the household owns a gun
Trump,Post-grad,Middle,No one in the household owns a gun
Biden,4-year,Middle,No one in the household owns a gun
Trump,High school graduate,NA,Someone in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Biden,4-year,High,Someone in the household owns a gun
Trump,No HS,Middle,Personally own a gun
Biden,High school graduate,Low,Someone in the household owns a gun
Biden,4-year,Middle,No one in the household owns a gun
Biden,High school graduate,High,Personally own a gun
Biden,4-year,High,Someone in the household owns a gun
Biden,4-year,High,Personally own a gun
Biden,2-year,Low,No one in the household owns a gun
Biden,2-year,High,Someone in the household owns a gun
Trump,Some college,Middle,Personally own a gun
Biden,2-year,Low,No one in the household owns a gun
Biden,Some college,Low,No one in the household owns a gun
Trump,High school graduate,High,Personally own a gun
Trump,High school graduate,Low,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Biden,2-year,Middle,No one in the household owns a gun
Trump,Post-grad,High,Personally own a gun
Trump,2-year,Low,Personally own a gun
Trump,Some college,High,No one in the household owns a gun
Trump,Post-grad,NA,Someone in the household owns a gun
Trump,No HS,Very High,No one in the household owns a gun
Biden,2-year,Middle,No one in the household owns a gun
Trump,4-year,High,Someone in the household owns a gun
Biden,Some college,High,Someone in the household owns a gun
Biden,Some college,Middle,Personally own a gun
Biden,4-year,NA,No one in the household owns a gun
Biden,Some college,High,No one in the household owns a gun
Biden,4-year,Low,Someone in the household owns a gun
Trump,Some college,Middle,Personally own a gun
Biden,Some college,High,No one in the household owns a gun
Biden,2-year,NA,No one in the household owns a gun
Trump,High school graduate,NA,No one in the household owns a gun
Biden,Some college,High,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,Post-grad,High,No one in the household owns a gun
Trump,Some college,Low,No one in the household owns a gun
Trump,High school graduate,Low,Personally own a gun
Biden,Post-grad,Low,No one in the household owns a gun
Biden,High school graduate,Middle,No one in the household owns a gun
Biden,Some college,High,No one in the household owns a gun
Trump,High school graduate,NA,No one in the household owns a gun
Biden,4-year,Middle,No one in the household owns a gun
Biden,4-year,High,Someone in the household owns a gun
Trump,High school graduate,Low,No one in the household owns a gun
Biden,4-year,Low,Someone in the household owns a gun
Trump,Some college,NA,No one in the household owns a gun
Biden,Some college,Low,No one in the household owns a gun
Trump,Some college,NA,No one in the household owns a gun
Trump,High school graduate,Middle,Someone in the household owns a gun
Biden,4-year,Middle,No one in the household owns a gun
Biden,Post-grad,Middle,No one in the household owns a gun
Trump,4-year,Middle,Someone in the household owns a gun
Trump,High school graduate,Middle,NA
Biden,No HS,Low,No one in the household owns a gun
Trump,High school graduate,Low,Personally own a gun
Biden,No HS,High,No one in the household owns a gun
Trump,4-year,High,Someone in the household owns a gun
Biden,Post-grad,NA,No one in the household owns a gun
Biden,Some college,Low,No one in the household owns a gun
Trump,2-year,Middle,Someone in the household owns a gun
Biden,High school graduate,Low,Personally own a gun
Biden,Some college,Middle,Personally own a gun
Biden,Post-grad,High,NA
Trump,High school graduate,Low,Personally own a gun
Trump,4-year,High,NA
Trump,High school graduate,Middle,No one in the household owns a gun
Trump,Some college,Low,Personally own a gun
Biden,Post-grad,Low,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Trump,Some college,High,NA
Trump,4-year,High,NA
Trump,4-year,Low,No one in the household owns a gun
Trump,High school graduate,Middle,No one in the household owns a gun
Trump,4-year,Low,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,Some college,NA,No one in the household owns a gun
Trump,Some college,Middle,Personally own a gun
Biden,High school graduate,Low,No one in the household owns a gun
Trump,High school graduate,Middle,Personally own a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,Some college,Low,Personally own a gun
Trump,High school graduate,High,NA
Biden,High school graduate,Low,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Trump,Some college,NA,Personally own a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,Post-grad,High,Personally own a gun
Trump,Post-grad,Low,No one in the household owns a gun
Biden,2-year,High,Personally own a gun
Trump,High school graduate,Low,Personally own a gun
Trump,Some college,Low,No one in the household owns a gun
Biden,Some college,Low,No one in the household owns a gun
Trump,High school graduate,Low,No one in the household owns a gun
Trump,High school graduate,NA,NA
Biden,4-year,High,No one in the household owns a gun
Biden,2-year,Middle,No one in the household owns a gun
Biden,4-year,High,Someone in the household owns a gun
Biden,4-year,High,Someone in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Trump,High school graduate,High,Personally own a gun
Trump,Some college,Middle,Someone in the household owns a gun
Trump,High school graduate,NA,Personally own a gun
Biden,Post-grad,High,Someone in the household owns a gun
Biden,Post-grad,High,No one in the household owns a gun
Biden,High school graduate,Low,Someone in the household owns a gun
Trump,High school graduate,Low,No one in the household owns a gun
Biden,2-year,NA,No one in the household owns a gun
Biden,Some college,High,No one in the household owns a gun
Biden,High school graduate,Low,NA
Biden,4-year,High,No one in the household owns a gun
Trump,4-year,High,Personally own a gun
Trump,2-year,High,Personally own a gun
Trump,Some college,Middle,Personally own a gun
Biden,Some college,Middle,No one in the household owns a gun
Biden,Some college,High,Personally own a gun
Trump,High school graduate,Low,Personally own a gun
Biden,High school graduate,Low,No one in the household owns a gun
Trump,High school graduate,High,Personally own a gun
Biden,Some college,Middle,No one in the household owns a gun
Biden,Some college,Very High,No one in the household owns a gun
Biden,Post-grad,High,No one in the household owns a gun
Biden,Some college,High,No one in the household owns a gun
Trump,Post-grad,Middle,No one in the household owns a gun
Trump,2-year,High,Personally own a gun
Biden,4-year,High,No one in the household owns a gun
Biden,4-year,Low,No one in the household owns a gun
Biden,Post-grad,Middle,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,Some college,NA,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Trump,High school graduate,High,Personally own a gun
Trump,High school graduate,Low,Personally own a gun
Biden,2-year,Middle,No one in the household owns a gun
Biden,Some college,NA,Someone in the household owns a gun
Biden,2-year,Low,NA
Trump,High school graduate,Middle,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Trump,High school graduate,High,Personally own a gun
Trump,High school graduate,NA,Personally own a gun
Trump,Some college,Low,NA
Biden,Some college,High,Someone in the household owns a gun
Biden,4-year,Low,No one in the household owns a gun
Trump,Post-grad,Low,No one in the household owns a gun
Biden,Post-grad,Low,No one in the household owns a gun
Trump,High school graduate,NA,No one in the household owns a gun
Biden,2-year,High,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Trump,High school graduate,Middle,Personally own a gun
Trump,Some college,Low,No one in the household owns a gun
Biden,High school graduate,High,No one in the household owns a gun
Biden,High school graduate,High,Personally own a gun
Trump,Some college,Low,No one in the household owns a gun
Trump,Some college,Middle,No one in the household owns a gun
Trump,4-year,Middle,Someone in the household owns a gun
Trump,Some college,NA,No one in the household owns a gun
Trump,Post-grad,Low,Personally own a gun
Biden,High school graduate,Middle,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,4-year,Middle,No one in the household owns a gun
Trump,4-year,Middle,No one in the household owns a gun
Biden,High school graduate,Low,Someone in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,High school graduate,Low,No one in the household owns a gun
Biden,4-year,Low,No one in the household owns a gun
Biden,2-year,Low,No one in the household owns a gun
Biden,High school graduate,Middle,Personally own a gun
Biden,High school graduate,NA,NA
Trump,4-year,Middle,Personally own a gun
Biden,4-year,Low,No one in the household owns a gun
Biden,4-year,High,Someone in the household owns a gun
Trump,Some college,Middle,Personally own a gun
Biden,High school graduate,Middle,Someone in the household owns a gun
Biden,4-year,Middle,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
Biden,4-year,NA,No one in the household owns a gun
Trump,4-year,High,Personally own a gun
Biden,4-year,High,Someone in the household owns a gun
Trump,2-year,Low,No one in the household owns a gun
Trump,Some college,Low,No one in the household owns a gun
Biden,High school graduate,Middle,Personally own a gun
Biden,4-year,High,Personally own a gun
Biden,4-year,Very High,No one in the household owns a gun
Biden,4-year,High,No one in the household owns a gun
